name,injury date,return date,days missed,injury type,age,height,weight,reinjured
Harrison Barnes,28 November 2015,02 January 2016,35,0,23,6-8,210,0
James Johnson,22 December 2015,26 December 2015,4,0,28,6-9,250,1
Julius Randle,23 December 2015,25 December 2015,2,0,21,6-9,250,0
LaMarcus Aldridge,21 November 2015,25 November 2015,4,0,30,6-11,260,0
Cody Zeller,20 November 2015,23 November 2015,3,0,23,7-0,240,0
Rudy Gobert,13 November 2015,15 November 2015,2,0,23,7-1,245,0
Rudy Gobert,12 November 2015,13 November 2015,1,0,23,7-1,245,0
Andre Roberson,24 March 2015,07 April 2015,14,0,24,6-7,210,0
Brandon Knight,30 March 2015,04 April 2015,5,0,24,6-3,189,0
J.J. Barea,22 March 2015,01 April 2015,10,0,31,6-0,185,0
Jeff Teague,27 March 2015,30 March 2015,3,0,27,6-2,186,0
Brandon Knight,11 March 2015,25 March 2015,14,0,24,6-3,189,1
Dewayne Dedmon,18 March 2015,25 March 2015,7,0,26,7-0,245,0
Tobias Harris,18 March 2015,25 March 2015,7,0,23,6-9,235,0
Anthony Davis,19 March 2015,22 March 2015,3,0,22,6-10,253,0
Enes Kanter,20 March 2015,22 March 2015,2,0,23,6-11,245,0
DeMarcus Cousins,27 February 2015,03 March 2015,4,0,25,6-11,270,1
Tyson Chandler,11 February 2015,19 February 2015,8,0,33,7-1,240,0
Tobias Harris,14 January 2015,21 January 2015,7,0,23,6-9,235,1
Cory Joseph,26 November 2014,10 January 2015,45,0,23,6-3,193,0
Isaiah Canaan,13 December 2014,17 December 2014,4,0,23,6-0,201,0
Nerlens Noel,07 November 2014,13 November 2014,6,0,20,6-11,228,0
Taj Gibson,01 November 2014,04 November 2014,3,0,29,6-9,225,0
Dwight Howard,09 April 2014,12 April 2014,3,0,29,6-11,265,0
Terrence Ross,02 March 2014,07 March 2014,5,0,23,6-7,206,0
Meyers Leonard,19 February 2014,01 March 2014,10,0,22,7-1,245,0
Nikola Vucevic,04 January 2014,06 January 2014,2,0,24,7-0,260,0
Brook Lopez,18 November 2013,29 November 2013,11,0,25,7-0,275,0
Tobias Harris,23 November 2013,24 November 2013,1,0,21,6-9,235,0
Bradley Beal,06 March 2013,16 March 2013,10,0,20,6-5,207,0
Dion Waiters,05 December 2012,18 December 2012,13,0,21,6-4,225,0
J.J. Barea,09 March 2012,12 March 2012,3,0,28,6-0,185,0
LaMarcus Aldridge,15 February 2012,18 February 2012,3,0,27,6-11,260,0
J.J. Barea,27 January 2012,01 February 2012,5,0,28,6-0,185,1
Taj Gibson,23 January 2012,27 January 2012,4,0,27,6-9,225,0
Marvin Williams,09 January 2012,12 January 2012,3,0,26,6-9,237,0
Garrett Temple,23 March 2011,25 March 2011,2,0,25,6-6,195,0
LeBron James,15 January 2011,18 January 2011,3,0,27,6-8,250,0
Doug McDermott,29 March 2021,31 March 2021,2,1,29,6-8,225,0
Reggie Bullock,25 March 2021,29 March 2021,4,1,30,6-7,205,0
Christian Wood,05 February 2021,17 March 2021,40,1,26,6-11,220,0
Dario Saric,26 February 2021,28 February 2021,2,1,27,6-10,223,0
Terry Rozier,01 February 2021,05 February 2021,4,1,27,6-2,190,0
Christian Wood,21 January 2021,28 January 2021,7,1,26,6-11,220,1
Danilo Gallinari,02 January 2021,22 January 2021,20,1,33,6-10,225,0
Cameron Payne,09 January 2021,18 January 2021,9,1,27,6-3,185,0
Josh Jackson,04 January 2021,08 January 2021,4,1,24,6-8,207,0
James Harden,02 January 2021,04 January 2021,2,1,32,6-5,220,0
Jahlil Okafor,28 December 2020,01 January 2021,4,1,25,6-11,275,0
Jimmy Butler,26 December 2020,01 January 2021,6,1,31,6-8,236,0
Giannis Antetokounmpo,05 September 2020,08 September 2020,3,1,26,6-11,222,0
Bruno Caboclo,31 July 2020,09 August 2020,9,1,25,6-9,218,0
Thon Maker,01 March 2020,04 March 2020,3,1,23,7-1,216,0
Paul Millsap,01 March 2020,03 March 2020,2,1,35,6-8,246,0
Brandon Ingram,08 February 2020,20 February 2020,12,1,23,6-9,190,0
Daniel Theis,05 February 2020,09 February 2020,4,1,28,6-9,215,0
Jaylen Brown,07 February 2020,09 February 2020,2,1,24,6-7,225,0
Jerami Grant,05 February 2020,08 February 2020,3,1,26,6-8,210,0
Rondae Hollis-Jefferson,28 January 2020,05 February 2020,8,1,25,6-7,220,0
Jaylen Brown,22 January 2020,26 January 2020,4,1,24,6-7,225,1
Draymond Green,06 January 2020,07 January 2020,1,1,30,6-7,230,0
Dragan Bender,08 December 2019,26 December 2019,18,1,22,7-1,225,0
Anthony Davis,17 December 2019,19 December 2019,2,1,26,6-10,253,0
Danilo Gallinari,09 December 2019,11 December 2019,2,1,31,6-10,225,0
Serge Ibaka,09 November 2019,01 December 2019,22,1,30,6-10,235,0
Brandon Knight,20 November 2019,22 November 2019,2,1,28,6-3,189,0
Jonathan Isaac,15 November 2019,20 November 2019,5,1,22,6-10,210,0
Myles Turner,01 November 2019,16 November 2019,15,1,23,6-11,243,0
D'Angelo Russell,02 November 2019,08 November 2019,6,1,23,6-5,195,0
Alec Burks,24 October 2019,30 October 2019,6,1,28,6-6,214,0
Rodney McGruder,22 October 2019,30 October 2019,8,1,28,6-4,205,0
Joel Embiid,26 October 2019,28 October 2019,2,1,25,7-0,250,0
John Henson,23 October 2019,26 October 2019,3,1,29,6-11,229,0
Stephen Curry,10 April 2019,12 April 2019,2,1,31,6-3,190,0
Giannis Antetokounmpo,31 March 2019,01 April 2019,1,1,25,6-11,222,0
Josh Jackson,23 March 2019,30 March 2019,7,1,22,6-8,207,0
Kyle Lowry,20 March 2019,24 March 2019,4,1,33,6-0,205,0
Giannis Antetokounmpo,19 March 2019,22 March 2019,3,1,25,6-11,222,1
Kevin Durant,13 March 2019,18 March 2019,5,1,31,6-9,240,0
Kyle Kuzma,06 March 2019,12 March 2019,6,1,24,6-9,220,0
Gordon Hayward,21 February 2019,23 February 2019,2,1,29,6-8,226,0
Mike Muscala,21 February 2019,23 February 2019,2,1,28,6-11,240,0
Elfrid Payton,06 February 2019,22 February 2019,16,1,25,6-4,185,0
Jerami Grant,11 February 2019,22 February 2019,11,1,25,6-8,210,1
Cedi Osman,05 February 2019,13 February 2019,8,1,24,6-8,210,0
Julius Randle,29 January 2019,06 February 2019,8,1,25,6-9,250,0
Zach LaVine,30 January 2019,02 February 2019,3,1,24,6-5,189,0
Steven Adams,29 January 2019,01 February 2019,3,1,26,7-0,255,0
Kent Bazemore,31 December 2018,30 January 2019,30,1,29,6-5,201,0
Derrick Rose,12 January 2019,15 January 2019,3,1,31,6-3,190,0
Christian Wood,08 January 2019,11 January 2019,3,1,24,6-11,220,0
Derrick Rose,08 January 2019,11 January 2019,3,1,31,6-3,190,1
Joe Harris,07 January 2019,09 January 2019,2,1,28,6-6,219,0
Derrick Rose,30 December 2018,08 January 2019,9,1,30,6-3,190,1
Bobby Portis,20 December 2018,06 January 2019,17,1,23,6-11,230,0
D.J. Augustin,31 December 2018,02 January 2019,2,1,31,6-0,183,0
Cheick Diallo,29 December 2018,31 December 2018,2,1,22,6-9,220,0
Julius Randle,19 December 2018,21 December 2018,2,1,24,6-9,250,1
Michael Kidd-Gilchrist,13 November 2018,26 November 2018,13,1,25,6-7,232,0
Willy Hernangomez,21 November 2018,23 November 2018,2,1,24,6-11,240,0
Rondae Hollis-Jefferson,16 November 2018,17 November 2018,1,1,23,6-7,220,0
Elfrid Payton,29 October 2018,16 November 2018,18,1,24,6-4,185,1
Jonathan Isaac,04 November 2018,14 November 2018,10,1,21,6-10,210,1
Emmanuel Mudiay,17 October 2018,29 October 2018,12,1,22,6-5,200,0
Mike Muscala,16 October 2018,23 October 2018,7,1,27,6-11,240,1
Matthew Dellavedova,06 February 2018,11 April 2018,64,1,28,6-4,198,0
Troy Daniels,06 April 2018,08 April 2018,2,1,27,6-4,205,0
Jahlil Okafor,05 April 2018,07 April 2018,2,1,23,6-11,275,0
Goran Dragic,04 April 2018,06 April 2018,2,1,32,6-3,190,0
Derrick Rose,26 March 2018,01 April 2018,6,1,30,6-3,190,1
Bam Adebayo,27 March 2018,29 March 2018,2,1,21,6-10,243,0
Giannis Antetokounmpo,23 March 2018,25 March 2018,2,1,24,6-11,222,1
Stephen Curry,09 March 2018,23 March 2018,14,1,30,6-3,190,0
Tristan Thompson,05 March 2018,23 March 2018,18,1,27,6-9,238,0
