PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Derrick Rose,Cavaliers,09 November 2017,18 January 2018,70,Sprained Left Ankle
Marco Belinelli,Hawks,12 January 2018,15 January 2018,3,Sprained Left Ankle
Bojan Bogdanovic,Pacers,06 January 2018,08 January 2018,2,Sprained Left Ankle
Mike Muscala,Hawks,02 December 2017,02 January 2018,31,Sprained Left Ankle
Andre Roberson,Thunder,11 December 2017,15 December 2017,4,Sprained Left Ankle
Nikola Jokic,Nuggets,02 December 2017,13 December 2017,11,Sprained Left Ankle
Frank Ntilikina,Knicks,29 November 2017,03 December 2017,4,Sprained Left Ankle
Kevin Durant,Warriors,24 November 2017,29 November 2017,5,Sprained Left Ankle
Kevin Durant,Warriors,19 November 2017,22 November 2017,3,Sprained Left Ankle
Mike Muscala,Hawks,06 November 2017,18 November 2017,12,Sprained Left Ankle
JaMychal Green,Grizzlies,21 October 2017,14 November 2017,24,Sprained Left Ankle
Kristaps Porzingis,Knicks,08 November 2017,11 November 2017,3,Sprained Left Ankle
TJ Leaf,Pacers,05 November 2017,07 November 2017,2,Sprained Left Ankle
Jonas Valanciunas,Raptors,23 October 2017,01 November 2017,9,Sprained Left Ankle
Derrick Rose,Cavaliers,21 October 2017,29 October 2017,8,Sprained Left Ankle
Dennis Schroder,Hawks,23 October 2017,27 October 2017,4,Sprained Left Ankle
Malcolm Brogdon,Bucks,23 October 2017,26 October 2017,3,Sprained Left Ankle
Alex Len,Suns,18 October 2017,20 October 2017,2,Sprained Left Ankle
Kawhi Leonard,Spurs,16 May 2017,22 May 2017,6,Sprained Left Ankle
Kawhi Leonard,Spurs,11 May 2017,14 May 2017,3,Sprained Left Ankle
Chasson Randle,Knicks,06 April 2017,07 April 2017,1,Sprained Left Ankle
DeMarre Carroll,Raptors,08 March 2017,10 March 2017,2,Sprained Left Ankle
Dion Waiters,Heat,08 February 2017,13 February 2017,5,Sprained Left Ankle
Derrick Rose,Knicks,29 January 2017,06 February 2017,8,Sprained Left Ankle
Joe Harris,Nets,23 January 2017,01 February 2017,9,Sprained Left Ankle
Joakim Noah,Knicks,18 January 2017,21 January 2017,3,Sprained Left Ankle
Ed Davis,Blazers,17 January 2017,20 January 2017,3,Sprained Left Ankle
Nerlens Noel,76ers,16 January 2017,18 January 2017,2,Sprained Left Ankle
Aron Baynes,Pistons,01 January 2017,08 January 2017,7,Sprained Left Ankle
Damian Lillard,Blazers,26 December 2016,05 January 2017,10,Sprained Left Ankle
Marco Belinelli,Hornets,31 December 2016,04 January 2017,4,Sprained Left Ankle
Rodney McGruder,Heat,19 December 2016,27 December 2016,8,Sprained Left Ankle
Evan Turner,Blazers,21 December 2016,26 December 2016,5,Sprained Left Ankle
Nerlens Noel,76ers,14 December 2016,16 December 2016,2,Sprained Left Ankle
Moe Harkless,Blazers,08 December 2016,10 December 2016,2,Sprained Left Ankle
Courtney Lee,Knicks,02 December 2016,06 December 2016,4,Sprained Left Ankle
Joakim Noah,Knicks,30 November 2016,04 December 2016,4,Sprained Left Ankle
Jae Crowder,Celtics,03 November 2016,19 November 2016,16,Sprained Left Ankle
Rajon Rondo,Bulls,15 November 2016,19 November 2016,4,Sprained Left Ankle
Goran Dragic,Heat,11 November 2016,17 November 2016,6,Sprained Left Ankle
Paul George,Pacers,12 November 2016,14 November 2016,2,Sprained Left Ankle
Patrick McCaw,Warriors,30 October 2016,07 November 2016,8,Sprained Left Ankle
Lance Thomas,Knicks,04 November 2016,06 November 2016,2,Sprained Left Ankle
Marcus Smart,Celtics,26 October 2016,02 November 2016,7,Sprained Left Ankle
Nicolas Batum,Hornets,23 April 2016,27 April 2016,4,Sprained Left Ankle
Justise Winslow,Heat,12 April 2016,13 April 2016,1,Sprained Left Ankle
Andre Iguodala,Warriors,14 March 2016,05 April 2016,22,Sprained Left Ankle
Marvin Williams,Hornets,22 March 2016,25 March 2016,3,Sprained Left Ankle
James Johnson,Raptors,02 February 2016,19 February 2016,17,Sprained Left Ankle
Noah Vonleh,Blazers,04 February 2016,10 February 2016,6,Sprained Left Ankle
Ish Smith,76ers,06 February 2016,08 February 2016,2,Sprained Left Ankle
Rudy Gay,Kings,07 February 2016,08 February 2016,1,Sprained Left Ankle
DeMarcus Cousins,Kings,30 January 2016,03 February 2016,4,Sprained Left Ankle
Dwight Howard,Rockets,21 January 2016,27 January 2016,6,Sprained Left Ankle
Ian Mahinmi,Pacers,22 January 2016,26 January 2016,4,Sprained Left Ankle
Patrick Beverley,Rockets,20 January 2016,24 January 2016,4,Sprained Left Ankle
Danilo Gallinari,Nuggets,22 December 2015,02 January 2016,11,Sprained Left Ankle
Harrison Barnes,Warriors,28 November 2015,02 January 2016,35,Sprained Left Ankle
James Johnson,Raptors,22 December 2015,26 December 2015,4,Sprained Left Ankle
Julius Randle,Lakers,23 December 2015,25 December 2015,2,Sprained Left Ankle
LaMarcus Aldridge,Spurs,21 November 2015,25 November 2015,4,Sprained Left Ankle
Cody Zeller,Hornets,20 November 2015,23 November 2015,3,Sprained Left Ankle
Rudy Gobert,Jazz,13 November 2015,15 November 2015,2,Sprained Left Ankle
Rudy Gobert,Jazz,12 November 2015,13 November 2015,1,Sprained Left Ankle
CJ McCollum,Blazers,15 April 2015,19 April 2015,4,Sprained Left Ankle
Andre Roberson,Thunder,24 March 2015,07 April 2015,14,Sprained Left Ankle
Brandon Knight,Suns,30 March 2015,04 April 2015,5,Sprained Left Ankle
J.J. Barea,Mavericks,22 March 2015,01 April 2015,10,Sprained Left Ankle
Jeff Teague,Hawks,27 March 2015,30 March 2015,3,Sprained Left Ankle
