name,year_end,position,height,weight,birth_date
Allen Crabbe,2018,G-F,6-6,210,1992
Torrey Craig,2018,G-F,6-6,215,1990
Jamal Crawford,2018,G,6-5,200,1980
Jordan Crawford,2018,G,6-4,195,1988
Jae Crowder,2018,F,6-6,235,1990
Dante Cunningham,2018,F,6-8,230,1987
Jared Cunningham,2016,G,6-4,195,1991
Eddy Curry,2013,C,7-0,295,1982
JamesOn Curry,2010,G,6-3,190,1986
Seth Curry,2017,G,6-2,185,1990
Stephen Curry,2018,G,6-3,190,1988
Samuel Dalembert,2015,C,6-11,255,1981
Erick Dampier,2012,C,6-11,265,1975
Antonio Daniels,2011,G,6-4,195,1975
Marquis Daniels,2013,G-F,6-6,200,1981
Troy Daniels,2018,G,6-4,205,1991
Luigi Datome,2015,F,6-8,215,1987
Brandon Davies,2015,F,6-10,240,1991
Anthony Davis,2018,F-C,6-10,253,1993
Baron Davis,2012,G,6-3,209,1979
Deyonta Davis,2018,F-C,6-11,237,1996
Ed Davis,2018,F,6-10,240,1989
Glen Davis,2015,F-C,6-9,289,1986
Josh Davis,2012,F,6-8,235,1980
Paul Davis,2010,C,6-11,270,1984
Ricky Davis,2010,G,6-6,195,1979
Andre Dawkins,2015,G,6-5,215,1991
Branden Dawson,2016,F,6-6,225,1993
Eric Dawson,2012,F,6-9,250,1984
Austin Daye,2015,F,6-11,220,1988
Nando De Colo,2014,G,6-5,200,1987
Dewayne Dedmon,2018,C,7-0,245,1989
Bryce Dejean-Jones,2016,G,6-6,209,1992
Sam Dekker,2018,F,6-9,230,1994
Malcolm Delaney,2018,G,6-3,190,1989
Carlos Delfino,2013,G,6-6,230,1982
Matthew Dellavedova,2018,G,6-4,198,1990
Luol Deng,2018,F,6-9,220,1985
Justin Dentmon,2013,G,5-11,185,1985
DeMar DeRozan,2018,G-F,6-7,221,1989
Cheick Diallo,2018,F,6-9,220,1996
Boris Diaw,2017,F-C,6-8,250,1982
Yakhouba Diawara,2010,G-F,6-7,225,1982
Travis Diener,2010,G,6-1,175,1982
Gorgui Dieng,2018,C,6-11,241,1990
Spencer Dinwiddie,2018,G,6-6,200,1993
Ike Diogu,2012,F,6-8,250,1983
DeSagana Diop,2013,C,7-0,300,1982
Keyon Dooling,2013,G,6-3,196,1980
Joey Dorsey,2015,F,6-8,268,1983
Tyler Dorsey,2018,G,6-5,183,1996
Damyean Dotson,2018,G,6-6,205,1994
Toney Douglas,2017,G,6-2,195,1986
Chris Douglas-Roberts,2015,G,6-7,200,1987
Zabian Dowdell,2011,G,6-3,191,1984
Goran Dragic,2018,G,6-3,190,1986
Zoran Dragic,2015,G-F,6-5,200,1989
Larry Drew,2015,G,6-2,180,1990
Andre Drummond,2018,C,6-11,279,1993
Jared Dudley,2018,F-G,6-7,225,1985
Chris Duhon,2013,G,6-1,185,1982
Duje Dukan,2016,F,6-9,220,1991
Tim Duncan,2016,F-C,6-11,250,1976
Mike Dunleavy,2017,F-G,6-9,230,1980
Kris Dunn,2018,G,6-4,210,1994
Ronald Dupree,2011,F,6-7,209,1981
Kevin Durant,2018,F-G,6-9,240,1988
Jerome Dyson,2012,G,6-3,180,1987
Cleanthony Early,2016,F,6-8,210,1991
Devin Ebanks,2013,F,6-9,215,1989
Jarell Eddie,2017,G-F,6-7,218,1991
Shane Edwards,2014,F,6-7,220,1987
Henry Ellenson,2018,F,6-11,245,1997
Wayne Ellington,2018,G,6-4,200,1987
Monta Ellis,2017,G,6-3,185,1985
Francisco Elson,2012,C,7-0,235,1976
Melvin Ely,2014,C,6-10,260,1978
Joel Embiid,2018,C-F,7-0,250,1994
Andre Emmett,2012,F,6-5,230,1982
Kim English,2013,G,6-6,200,1988
James Ennis,2018,F,6-7,210,1990
Tyler Ennis,2018,G,6-3,194,1994
Semih Erden,2012,C,7-0,240,1986
Jawun Evans,2018,G,6-0,185,1996
Jeremy Evans,2016,F,6-9,200,1987
Maurice Evans,2012,G,6-5,220,1978
Reggie Evans,2015,F,6-8,245,1980
Tyreke Evans,2018,G-F,6-6,220,1989
Patrick Ewing,2011,F,6-8,235,1984
Dante Exum,2017,G,6-6,190,1995
Christian Eyenga,2012,F,6-5,210,1989
Festus Ezeli,2016,C,6-11,255,1989
Kenneth Faried,2018,F,6-8,228,1989
Jordan Farmar,2017,G,6-2,180,1986
Vitor Faverani,2014,C,6-11,260,1988
Derrick Favors,2018,F-C,6-10,265,1991
Kay Felder,2018,G,5-9,176,1995
Cristiano Felicio,2018,F-C,6-10,275,1992
Carrick Felix,2014,G,6-6,201,1990
Raymond Felton,2018,G,6-1,205,1984
Terrance Ferguson,2018,G-F,6-7,184,1998
Rudy Fernandez,2012,G,6-6,185,1985
Yogi Ferrell,2018,G,6-0,180,1993
Kyrylo Fesenko,2012,C,7-1,288,1986
Landry Fields,2015,F,6-7,210,1988
Michael Finley,2010,G-F,6-7,215,1973
Dorian Finney-Smith,2018,F,6-8,220,1993
Derek Fisher,2014,G,6-1,200,1974
Jonny Flynn,2012,G,6-0,185,1989
Jeff Foote,2012,C,7-0,265,1987
Bryn Forbes,2018,G,6-3,190,1993
Gary Forbes,2012,F,6-7,220,1985
T.J. Ford,2012,G,6-0,165,1983
Courtney Fortson,2012,G,5-11,185,1988
Jeff Foster,2012,F-C,6-11,236,1977
Evan Fournier,2018,G-F,6-7,205,1992
De'Aaron Fox,2018,G,6-3,170,1997
Randy Foye,2017,G,6-4,213,1983
Jamaal Franklin,2015,G,6-5,191,1991
Tim Frazier,2018,G,6-1,170,1990
Jimmer Fredette,2016,G,6-2,195,1989
Joel Freeland,2015,F-C,6-10,250,1987
Channing Frye,2018,C-F,6-11,255,1983
Markelle Fultz,2018,G,6-4,195,1998
Dan Gadzuric,2012,C,6-11,240,1978
Sundiata Gaines,2012,G,6-1,185,1986
Danilo Gallinari,2018,F,6-10,225,1988
Langston Galloway,2018,G,6-2,200,1991
Francisco Garcia,2015,F-G,6-7,195,1981
Patricio Garino,2017,G-F,6-6,210,1993
Kevin Garnett,2016,F-C,6-11,240,1976
Diante Garrett,2014,G,6-4,190,1988
Marc Gasol,2018,C,7-1,255,1985
Pau Gasol,2018,F-C,7-0,250,1980
Rudy Gay,2018,F,6-8,230,1986
Michael Gbinije,2017,G,6-7,200,1992
Alonzo Gee,2017,G,6-6,225,1987
Mickael Gelabale,2013,F,6-7,215,1983
Devean George,2010,G-F,6-8,220,1977
Paul George,2018,F,6-9,220,1990
Marcus Georges-Hunt,2018,G,6-5,216,1994
Daniel Gibson,2013,G,6-2,190,1986
Jonathan Gibson,2017,G,6-2,185,1987
Taj Gibson,2018,F,6-9,225,1985
J.R. Giddens,2010,G,6-5,215,1985
Trey Gilder,2010,F,6-9,185,1985
Manu Ginobili,2018,G,6-6,205,1977
Mickell Gladness,2012,C,6-11,220,1986
Rudy Gobert,2018,C,7-1,245,1992
Ryan Gomes,2014,F,6-7,250,1982
Drew Gooden,2016,F,6-10,250,1981
Archie Goodwin,2017,G,6-5,200,1994
Aaron Gordon,2018,F,6-9,220,1995
Ben Gordon,2015,G,6-3,200,1983
Drew Gordon,2015,F,6-9,245,1990
Eric Gordon,2018,G,6-4,215,1988
Marcin Gortat,2018,C-F,6-11,240,1984
Andrew Goudelock,2016,G,6-3,200,1988
Joey Graham,2011,F,6-7,225,1982
Stephen Graham,2011,G,6-6,215,1982
Treveon Graham,2018,G,6-6,220,1993
Danny Granger,2015,F,6-9,222,1983
