Date,Team,Acquired,Relinquished,Notes
2/19/12,Pacers,,George Hill,sprained left ankle (DNP)
2/19/12,Rockets,,Hasheem Thabeet,sore lower back (DNP)
2/19/12,Rockets,,Jordan Hill,placed on IL with sprained MCL in right knee
2/19/12,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2/19/12,Timberwolves,,Anthony Randolph,placed on IL
2/19/12,Rockets,Greg Smith ,,activated from IL
2/20/12,Blazers,,Greg Oden,microfracture surgery on left knee (out indefinitely)
2/20/12,Bucks,,Drew Gooden,sprained right wrist (DNP)
2/20/12,Bucks,,Tobias Harris,bruised right shoulder (DNP)
2/20/12,Bulls,,C.J. Watson,placed on IL with concussion (F)
2/20/12,Hornets,,Emeka Okafor,sore left knee (DNP)
2/20/12,Hornets,,Jason Smith,concussion (DNP)
2/20/12,Jazz,,Raja Bell,placed on IL with strained right adductor
2/20/12,Jazz,DeMarre Carroll,,activated from IL
2/20/12,Knicks,,Bill Walker,placed on IL (F)
2/20/12,Knicks,,Bill Walker,sore left elbow (DNP)
2/20/12,Knicks,,Iman Shumpert,placed on IL with knee injury
2/20/12,Magic,,Jason Richardson,placed on IL with chest pain
2/20/12,Magic,DeAndre Liggins,,activated from IL
2/20/12,Nets,,Brook Lopez,placed on IL (F)
2/20/12,Nets,,Jordan Farmar,strained right groin (DNP)
2/20/12,Nets,,Mehmet Okur,sore lower back (DNP)
2/20/12,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (F P)
2/20/12,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2/20/12,Rockets,,Hasheem Thabeet,placed on IL with back injury
2/20/12,Spurs,,Manu Ginobili,placed on IL with strained left oblique muscle
2/20/12,Spurs,,Tiago Splitter,placed on IL with strained right calf
2/20/12,Thunder,,James Harden,sprained left ankle (DNP)
2/20/12,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2/20/12,Thunder,,Nick Collison,bruised left quadriceps (DNP)
2/20/12,Timberwolves,,Darko Milicic,placed on IL with stomach injury
2/20/12,Timberwolves,Anthony Randolph,,activated from IL
2/20/12,Warriors,,Andris Biedrins,flu-like symptoms (DNP)
2/20/12,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2/20/12,Rockets,Marcus Morris,,activated from IL
2/21/12,76ers,,Elton Brand,sprained right thumb (DNP)
2/21/12,Hornets,,Emeka Okafor,sore left knee (DNP)
2/21/12,Hornets,,Jason Smith,concussion (DNP)
2/21/12,Kings,,John Salmons,placed on IL with hip injury
2/21/12,Kings,Tyler Honeycutt,,activated from IL
2/21/12,Pacers,,George Hill,sprained left ankle (DNP)
2/21/12,Spurs,, Tony Parker,rest (DNP)
2/21/12,Spurs,,Tim Duncan,rest (DNP)
2/22/12,76ers,,Elton Brand,sprained right thumb (DNP)
2/22/12,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2/22/12,Bobcats,,B.J. Mullens,placed on IL with illness
2/22/12,Bobcats,Eduardo Najera,,activated from IL
2/22/12,Bucks,,Drew Gooden,sprained right wrist (DNP)
2/22/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2/22/12,Bucks,,Tobias Harris,bruised right shoulder (DNP)
2/22/12,Bulls,,C.J. Watson,DNP (P)
2/22/12,Bulls,,C.J. Watson,placed on IL (F)
2/22/12,Celtics,,Chris Wilcox,strained right abductor (P) / adductor (CBC F) (DNP)
2/22/12,Celtics,,Jermaine O'Neal,placed on IL with left wrist injury
2/22/12,Hawks,,Jason Collins,sprained left elbow (DNP)
2/22/12,Hawks,,Joe Johnson,placed on IL with sore left knee
2/22/12,Hawks,Jason Collins,,activated from IL
2/22/12,Hornets,,Emeka Okafor,sore left knee (DNP)
2/22/12,Hornets,,Jason Smith,concussion (DNP)
2/22/12,Jazz,,Jamaal Tinsley,stomach flu (DNP)
2/22/12,Knicks,,Bill Walker,sore left elbow (DNP)
2/22/12,Magic,,Justin Harper,placed on IL
2/22/12,Magic,Daniel Orton,,activated from IL
2/22/12,Nets,,Jordan Farmar,strained right groin (DNP)
2/22/12,Nets,,Kris Humphries,strained left calf (DNP) (P)
2/22/12,Nets,,Kris Humphries,placed on IL with strained left calf (F)
2/22/12,Nets,,Mehmet Okur,sore lower back (DNP)
2/22/12,Nets,,Shawne Williams,surgery on left foot to remove bone fragment (out for season)
2/22/12,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (F P)
2/22/12,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2/22/12,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2/22/12,Pacers,,Jeff Foster,sore lower back (DNP)
2/22/12,Rockets,,Terrence Williams,DNP (P)
2/22/12,Rockets,,Terrence Williams,placed on IL (F)
2/22/12,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2/22/12,Thunder,,Nick Collison,bruised left quadriceps (DNP)
2/22/12,Timberwolves,,Anthony Randolph,placed on IL
2/22/12,Timberwolves,Darko Milicic,,activated from IL
2/22/12,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2/23/12,Hawks,,Jason Collins,sprained left elbow (DNP)
2/23/12,Knicks,,Bill Walker,sore left elbow (DNP)
2/23/12,Magic,,Jameer Nelson,placed on IL with right knee injury
2/23/12,Magic,Jason Richardson,,activated from IL
2/23/12,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2/23/12,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2/23/12,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2/23/12,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2/23/12,Thunder,,Nick Collison,bruised left quadriceps (DNP)
2/24/12,Bulls,Dwyane Wade,,returned to lineup
2/28/12,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2/28/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2/28/12,Bulls,C.J. Watson,,activated from IL
2/28/12,Bulls,Richard Hamilton,,activated from IL
2/28/12,Cavaliers,,Christian Eyenga,placed on IL with toe injury
2/28/12,Cavaliers,Anthony Parker,,activated from IL
2/28/12,Celtics,,E'Twaun Moore,placed on IL
2/28/12,Celtics,Brandon Bass,,activated from IL
2/28/12,Clippers,,Travis Leslie,placed on IL (F)
2/28/12,Hornets,,Emeka Okafor,sore left knee (DNP)
2/28/12,Hornets,,Jason Smith,concussion (DNP)
2/28/12,Kings,,Tyler Honeycutt,placed on IL
2/28/12,Kings,John Salmons,,activated from IL
2/28/12,Nets,,Jordan Farmar,strained right groin (DNP)
2/28/12,Nets,,Mehmet Okur,placed on IL (F)
2/28/12,Nets,Kris Humphries,,activated from IL
2/28/12,Raptors,,Solomon Alabi,placed on IL with upper respiratory infection
2/28/12,Raptors,Linas Kleiza,,activated from IL
2/28/12,Spurs,,Kawhi Leonard,strained right calf (DNP)
2/28/12,Warriors,,Jeremy Tyler,placed on IL (F) (date approximate)
2/28/12,Warriors,,Stephen Curry,right foot injury (DNP)
2/28/12,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2/28/12,Wizards,,Rashard Lewis,sore left knee (DNP)
2/29/12,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2/29/12,Blazers,,Joel Przybilla,placed on IL
2/29/12,Bobcats,,Cory Higgins,placed on IL
2/29/12,Bobcats,,Eduardo Najera,placed on IL
2/29/12,Bobcats,B.J. Mullens,,activated from IL
2/29/12,Bobcats,Gerald Henderson Jr.,,activated from IL
2/29/12,Bucks,,Luc Mbah a Moute,sore left shoulder (DNP)
2/29/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
2/29/12,Hawks,,Jason Collins,sprained left elbow (DNP)
2/29/12,Hawks,,Vladimir Radmanovic,illness (DNP)
2/29/12,Hawks,Joe Johnson,,activated from IL
2/29/12,Hornets,,Emeka Okafor,sore left knee (DNP)
2/29/12,Hornets,,Jason Smith,concussion (DNP)
2/29/12,Jazz,,Jamaal Tinsley,stomach flu (DNP)
2/29/12,Jazz,,Paul Millsap,bruised left heel (DNP) (P)
2/29/12,Knicks,,Bill Walker,placed on IL with left elbow injury
2/29/12,Knicks,,Jerome Jordan,placed on IL
2/29/12,Knicks,Iman Shumpert,,activated from IL
2/29/12,Knicks,Josh Harrellson,,activated from IL
2/29/12,Lakers,,Darius Morris,placed on IL
2/29/12,Magic,,Quentin Richardson,placed on IL with Achilles tendon injury
2/29/12,Magic,Jameer Nelson,,activated from IL
2/29/12,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
2/29/12,Nuggets,,Rudy Fernandez,strained lower back (DNP)
2/29/12,Spurs,,Kawhi Leonard,placed on IL with strained right calf
2/29/12,Spurs,T.J. Ford,,activated from IL
2/29/12,Spurs,Tiago Splitter,,activated from IL
2/29/12,Thunder,,Lazar Hayward,fractured orbital floor (DNP)
2/29/12,Timberwolves,,Kevin Love,placed on IL with rib injury / flu (CBC)
2/29/12,Timberwolves,Anthony Randolph,,activated from IL
2/29/12,Wizards,,Andray Blatche,strained left calf (DNP) (F)
2/29/12,Wizards,,Rashard Lewis,sore left knee (DNP)
2/29/12,Lakers,Devin Ebanks,,activated from IL
3/1/12,Blazers,,Kurt Thomas,placed on IL with concussion
3/1/12,Blazers,Joel Przybilla,,activated from IL
3/1/12,Clippers,,Travis Leslie,placed on IL (P)
3/1/12,Heat,,Mickell Gladness,placed on IL
3/1/12,Heat,Terrel Harris,,activated from IL
3/1/12,Timberwolves,,Jose Barea ,placed on IL with calf injury
3/1/12,Timberwolves,Kevin Love,,activated from IL
3/2/12,76ers,,Spencer Hawes,placed on IL with strained left Achilles tendon
3/2/12,Bobcats,,Bismack Biyombo,placed on IL with strained left shoulder
3/2/12,Bobcats,Eduardo Najera,,activated from IL
3/2/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
3/2/12,Cavaliers,,Kyrie Irving,illness (DNP)
3/2/12,Celtics,,Ray Allen,placed on IL with illness/flu
3/2/12,Celtics,E'Twaun Moore,,activated from IL
3/2/12,Hawks,,Jason Collins,sprained left elbow (DNP)
3/2/12,Hawks,,Joe Johnson,placed on IL with left knee tendinitis (F)
3/2/12,Hawks,,Willie Green,lower back spasms (DNP)
3/2/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/2/12,Hornets,,Jason Smith,concussion (DNP)
3/2/12,Hornets,,Trevor Ariza,illness (DNP)
3/2/12,Kings,,J.J. Hickson,placed on IL with bruised hip / back injury (CBC)
3/2/12,Kings,Tyler Honeycutt,,activated from IL
3/2/12,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
3/2/12,Nuggets,,Rudy Fernandez,strained lower back (DNP)
3/2/12,Nuggets,,Rudy Fernandez,placed on IL with strained lower back (F)
3/2/12,Spurs,Kawhi Leonard,,activated from IL
3/2/12,Warriors,,Stephen Curry,right foot injury (DNP)
3/2/12,Thunder,,Lazar Hayward,placed on IL
3/2/12,76ers,Craig Brackins,,activated from IL
3/3/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
3/3/12,Hawks,,Jason Collins,sprained left elbow (DNP)
3/3/12,Hawks,,Willie Green,lower back spasms (DNP)
3/3/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/3/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/3/12,Hornets,,Jason Smith,concussion (DNP)
3/3/12,Hornets,,Trevor Ariza,illness (DNP)
3/3/12,Mavericks,,Brandan Wright,concussion (DNP)
3/3/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/3/12,Thunder,,Thabo Sefolosha,sore right foot (DNP) (F)
3/3/12,Timberwolves,,Anthony Randolph,placed on IL
3/3/12,Timberwolves,,Malcom Lee,placed on IL
3/3/12,Timberwolves,Jose Barea ,,activated from IL
3/3/12,Wizards,,Nick Young,bruised right knee (DNP)
3/3/12,Wizards,,Rashard Lewis,sore left knee (DNP)
3/3/12,Wizards,Andray Blatche,,activated from IL (CBC P)
3/4/12,Bobcats,,Reggie Williams,placed on IL with left knee injury
3/4/12,Bobcats,Cory Higgins,,activated from IL
3/4/12,Celtics,,E'Twaun Moore,placed on IL
3/4/12,Celtics,Ray Allen,,activated from IL
3/4/12,Nets,,Mehmet Okur,sore lower back (DNP) (F)
3/4/12,Nuggets,,Danilo Gallinari,sprained left ankle (DNP) (P)
3/4/12,Nuggets,,Kosta Koufos,placed on IL with knee injury
3/4/12,Nuggets,,Rudy Fernandez,strained lower back (DNP) (P)
3/4/12,Spurs,,Cory Joseph,placed on IL (F)
3/4/12,Spurs,Manu Ginobili,,activated from IL
3/4/12,Warriors,,Stephen Curry,right foot injury (DNP)
3/5/12,Blazers,,Chris Johnson ,placed on IL
3/5/12,Blazers,Kurt Thomas,,activated from IL
3/5/12,Bucks,,Luc Mbah a Moute,sore right knee (DNP)
3/5/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
3/5/12,Bulls,,C.J. Watson,left ankle injury (DNP)
3/5/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/5/12,Hornets,,Jason Smith,concussion (DNP)
3/5/12,Jazz,,DeMarre Carroll,placed on IL
3/5/12,Jazz,Raja Bell,,activated from IL
3/5/12,Magic,,DeAndre Liggins,placed on IL
3/5/12,Magic,Quentin Richardson,,activated from IL
3/5/12,Mavericks,,Brandan Wright,placed on IL with concussion
3/5/12,Mavericks,Sean Williams,,activated from IL
3/5/12,Nuggets,,Rudy Fernandez,strained lower back (DNP) (P)
3/5/12,Nuggets,Nene Hilario ,,activated from IL
3/5/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/5/12,Raptors,,Amir Johnson,right knee injury (DTD)
3/5/12,Raptors,,Anthony Carter,placed on IL
3/5/12,Raptors,Solomon Alabi,,activated from IL
3/5/12,Timberwolves,,Nikola Pekovic,placed on IL with sore right foot
3/5/12,Timberwolves,Anthony Randolph,,activated from IL
3/5/12,Wizards,,Rashard Lewis,sore left knee (DNP)
3/6/12,Bobcats,,Cory Higgins,placed on IL
3/6/12,Bobcats,Bismack Biyombo,,activated from IL
3/6/12,Hawks,,Jason Collins,sprained left elbow (DNP)
3/6/12,Heat,,Terrel Harris,placed on IL
3/6/12,Lakers,,Devin Ebanks,placed on IL
3/6/12,Lakers,Darius Morris,,activated from IL
3/6/12,Magic,,Von Wafer,placed on IL with sore left shoulder
3/6/12,Magic,Justin Harper,,activated from IL
3/6/12,Mavericks,,Brendan Haywood,sprained left ankle (DNP)
3/6/12,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
3/6/12,Nets,,Mehmet Okur,sore lower back (DNP) (F)
3/6/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/6/12,Rockets,,Greg Smith ,placed on IL
3/6/12,Rockets,Hasheem Thabeet,,activated from IL
3/6/12,Cavaliers,Christian Eyenga,,activated from IL
3/7/12,76ers,,Thaddeus Young,upper respiratory infection (DNP)
3/7/12,Bobcats,,Boris Diaw,placed on IL
3/7/12,Bobcats,Reggie Williams,,activated from IL
3/7/12,Bucks,,Luc Mbah a Moute,sore right knee (DNP)
3/7/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
3/7/12,Bulls,,C.J. Watson,sprained left ankle (DNP)
3/7/12,Bulls,,Richard Hamilton,right shoulder injury (DNP)
3/7/12,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F)
3/7/12,Cavaliers,,Christian Eyenga,placed on IL (F)
3/7/12,Cavaliers,,Luke Harangody,placed on IL (F)
3/7/12,Clippers,,Ryan Gomes,illness (DTD)
3/7/12,Hawks,,Tracy McGrady,rest (DNP)
3/7/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/7/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/7/12,Hornets,,Gustavo Ayon,sore left foot (DNP)
3/7/12,Hornets,,Jason Smith,concussion (DNP)
3/7/12,Kings,,DeMarcus Cousins,food poisoning (DNP)
3/7/12,Knicks,,Jared Jeffries,sore right knee (DTD)
3/7/12,Knicks,,Tyson Chandler,hamstring injury (DNP)
3/7/12,Lakers,Devin Ebanks,,activated from IL
3/7/12,Nets,,Brook Lopez,sprained right ankle (DNP) (P)
3/7/12,Nets,,Mehmet Okur,sore lower back (DNP) (F)
3/7/12,Nuggets,,Rudy Fernandez,placed on IL with strained lower back (P)
3/7/12,Nuggets,,Timofey Mozgov,sprained left ankle (DTD)
3/7/12,Nuggets,Kosta Koufos,,activated from IL
3/7/12,Wizards,,Rashard Lewis,sore left knee (DNP)
3/7/12,Lakers,,Darius Morris,placed on IL
3/8/12,Bulls,,C.J. Watson,sore left ankle (DNP)
3/8/12,Bulls,,Richard Hamilton,sore right shoulder (DNP)
3/8/12,Magic,,Justin Harper,placed on IL
3/8/12,Magic,DeAndre Liggins,,activated from IL
3/8/12,Mavericks,,Brendan Haywood,sprained left ankle (DNP)
3/9/12,Blazers,,Elliot Williams,placed on IL with dislocated left shoulder
3/9/12,Blazers,Chris Johnson ,,activated from IL
3/9/12,Bobcats,,DeSagana Diop,placed on IL
3/9/12,Bobcats,Cory Higgins,,activated from IL
3/9/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
3/9/12,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F)
3/9/12,Celtics,,Mickael Pietrus,placed on IL with sore right knee
3/9/12,Celtics,E'Twaun Moore,,activated from IL
3/9/12,Clippers,,Kenyon Martin,sore ribs (DNP)
3/9/12,Hawks,,Jason Collins,placed on IL
3/9/12,Hawks,,Willie Green,lower back spasms (DNP)
3/9/12,Hawks,Joe Johnson,,activated from IL
3/9/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/9/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/9/12,Hornets,,Jason Smith,concussion (DNP)
3/9/12,Knicks,,Jared Jeffries,placed on IL
3/9/12,Knicks,,Tyson Chandler,strained hamstring (DNP)
3/9/12,Mavericks,,Brendan Haywood,sprained left ankle (DNP)
3/9/12,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
3/9/12,Nets,,Mehmet Okur,sore lower back (DNP) (F)
3/9/12,Nuggets,,Kosta Koufos,placed on IL (F)
3/9/12,Pistons,,Vernon Macklin,placed on IL
3/9/12,Spurs,, Tony Parker,placed on IL with right thigh injury
3/9/12,Spurs,,T.J. Ford,placed on IL with head injury (F)
3/9/12,Spurs,,T.J. Ford,head injury (DNP) (P)
3/9/12,Timberwolves,,Jose Barea ,placed on IL with sprained left ankle
3/9/12,Timberwolves,,Kevin Love,back spasms (DNP)
3/9/12,Timberwolves,,Ricky Rubio,torn ACL in left knee (out for season)
3/9/12,Timberwolves,Nikola Pekovic,,activated from IL
3/10/12,Bulls,,Joakim Noah,illness (DNP)
3/10/12,Bulls,,Luol Deng,torn ligament in left wrist (DNP)
3/10/12,Bulls,,Richard Hamilton,right shoulder injury (DNP)
3/10/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/10/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/10/12,Hornets,,Jason Smith,concussion (DNP)
3/10/12,Jazz,,Devin Harris,stomach flu (DNP)
3/10/12,Jazz,DeMarre Carroll,,activated from IL
3/10/12,Mavericks,,Brendan Haywood,sprained left ankle (DNP)
3/10/12,Mavericks,,Jason Kidd,rest (DNP)
3/10/12,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
3/10/12,Nets,,Deron Williams,strained right calf (DNP)
3/10/12,Nets,,Mehmet Okur,sore lower back (DNP) (F)
3/10/12,Pacers,,George Hill,sprained left shoulder (DNP)
3/10/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/10/12,Pistons,Charlie Villanueva,,activated from IL
3/10/12,Raptors,,Solomon Alabi,placed on IL (F)
3/10/12,Rockets,,Kyle Lowry,placed on IL with illness / bacterial infection
3/10/12,Rockets,Jordan Hill,,activated from IL
3/10/12,Timberwolves,,Kevin Love,back spasms (DNP)
3/10/12,Timberwolves,,Ricky Rubio,placed on IL with torn ACL in left knee (out for season)
3/10/12,Timberwolves,Malcom Lee,,activated from IL
3/10/12,Wizards,,Rashard Lewis,sore left knee (DNP) (P)
3/10/12,Wizards,,Rashard Lewis,placed on IL (F)
3/11/12,Bucks,,Luc Mbah a Moute,sore right knee (DNP)
3/11/12,Bucks,,Shaun Livingston,sprained left ankle (DNP)
3/11/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
3/11/12,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F)
3/11/12,Celtics,,Chris Wilcox,placed on IL with enlarged aorta
3/11/12,Celtics,Mickael Pietrus,,activated from IL
3/11/12,Hawks,,Jason Collins,placed on IL with sprained left elbow (P)
3/11/12,Hawks,Joe Johnson,,activated from IL (P)
3/11/12,Magic,,Jason Richardson,placed on IL with sprained left ankle
3/11/12,Magic,Von Wafer,,activated from IL
3/11/12,Nuggets,,Kosta Koufos,strained left knee (DNP) (F P)
3/11/12,Pacers,,George Hill,sprained left shoulder (DNP)
3/11/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/11/12,Raptors,,Jose Calderon,placed on IL with sprained right ankle
3/11/12,Raptors,Andrea Bargnani,,activated from IL
3/11/12,Rockets,,Terrence Williams,placed on IL with stomach ailment (P)
3/11/12,Rockets,Greg Smith ,,activated from IL
3/12/12,Bobcats,,Eduardo Najera,placed on IL with knee injury
3/12/12,Bobcats,Boris Diaw,,activated from IL
3/12/12,Bucks,,Luc Mbah a Moute,sore right knee (DNP)
3/12/12,Bucks,,Shaun Livingston,sprained left ankle (DNP)
3/12/12,Bucks,,Stephen Jackson,sore right hamstring (DNP)
3/12/12,Bulls,,Luol Deng,torn ligament in left wrist (DNP)
3/12/12,Bulls,,Richard Hamilton,right shoulder injury (DNP)
3/12/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/12/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/12/12,Hornets,,Jason Smith,concussion (DNP)
3/12/12,Jazz,,DeMarre Carroll,placed on IL
3/12/12,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
3/12/12,Nets,,Deron Williams,strained right calf (DNP)
3/12/12,Nets,,Mehmet Okur,sore lower back (DNP) (F)
3/12/12,Spurs, Tony Parker,,activated from IL
3/12/12,Timberwolves,,Darko Milicic,placed on IL
3/12/12,Timberwolves,Jose Barea ,,activated from IL
3/12/12,Wizards,,Rashard Lewis,sore left knee (DNP) (P)
3/12/12,Wizards,,Ronny Turiaf,fractured left hand (DNP) (F)
3/13/12,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F)
3/13/12,Grizzlies,,Rudy Gay,concussion (DNP)
3/13/12,Heat,,Mike Miller,placed on IL with sprained left ankle
3/13/12,Heat,Terrel Harris,,activated from IL
3/13/12,Kings,,Tyler Honeycutt,placed on IL
3/13/12,Kings,J.J. Hickson,,activated from IL
3/13/12,Lakers,,Luke Walton,gastroenteritis (DNP)
3/13/12,Magic,,Earl Clark,sore left foot (DTD)
3/13/12,Magic,,Von Wafer,placed on IL with back injury (F)
3/13/12,Magic,Justin Harper,,activated from IL
3/13/12,Mavericks,Brandan Wright,,activated from IL
3/13/12,Nuggets,,Julyan Stone,placed on IL
3/13/12,Nuggets,Rudy Fernandez,,activated from IL
3/13/12,Nuggets,Timofey Mozgov,,returned to lineup
3/13/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/13/12,Rockets,,Jordan Hill,placed on IL with flu (F)
3/13/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/13/12,Warriors,,Stephen Curry,sprained right ankle (DNP)
3/13/12,Mavericks,,Sean Williams,placed on IL
3/14/12,76ers,Spencer Hawes,,activated from IL
3/14/12,Bobcats,,Cory Higgins,placed on IL
3/14/12,Bobcats,DeSagana Diop,,activated from IL
3/14/12,Bucks,,Ekpe Udoh,placed on IL
3/14/12,Bucks,,Monta Ellis,placed on IL
3/14/12,Bucks,,Shaun Livingston,sprained right ankle (DNP)
3/14/12,Bulls,,Derrick Rose,sore groin (DNP)
3/14/12,Bulls,,Richard Hamilton,placed on IL with right shoulder injury
3/14/12,Cavaliers,,Anderson Varejao,fractured bone in right wrist (DNP) (F)
3/14/12,Hawks,,Marvin Williams,hip flexor injury (DTD)
3/14/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/14/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/14/12,Hornets,,Jason Smith,concussion (DNP)
3/14/12,Knicks,Jared Jeffries,,activated from IL
3/14/12,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
3/14/12,Nets,,Deron Williams,strained right calf (DNP)
3/14/12,Nets,,Mehmet Okur,sore lower back (DNP) (F)
3/14/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/14/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/14/12,Rockets,Jordan Hill,,activated from IL
3/14/12,Warriors,,Stephen Curry,sprained right ankle (DNP)
3/14/12,Warriors,,Stephen Jackson,placed on IL
3/15/12,Bobcats,,Boris Diaw,placed on IL
3/15/12,Bobcats,Eduardo Najera,,activated from IL
3/15/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/15/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/15/12,Hornets,,Jason Smith,concussion (DNP)
3/15/12,Jazz,,Earl Watson,placed on IL with ankle injury
3/15/12,Jazz,DeMarre Carroll,,activated from IL
3/15/12,Nuggets,Julyan Stone,,activated from IL
3/15/12,Nuggets,Kosta Koufos,,activated from IL
3/15/12,Suns,,Grant Hill,rest (DNP)
3/15/12,Suns,,Steve Nash,rest (DNP)
3/15/12,Thunder,,Ryan Reid,placed on IL
3/15/12,Thunder,Thabo Sefolosha,,activated from IL
3/15/12,Timberwolves,,Michael Beasley,placed on IL with toe injury
3/15/12,Timberwolves,Darko Milicic,,activated from IL
3/15/12,Wizards,,Rashard Lewis,sore left knee (DNP) (F P)
3/15/12,Clippers,,Nick Young,placed on IL
3/15/12,Nuggets,,JaVale McGee,placed on IL
3/15/12,Nuggets,,Ronny Turiaf,placed on IL
3/16/12,76ers,,Spencer Hawes,placed on IL with left Achilles tendon injury
3/16/12,Blazers,,Elliot Williams,left shoulder injury (DNP) (F)
3/16/12,Blazers,,Mehmet Okur,placed on IL
3/16/12,Bucks,,Ersan Ilyasova,placed on IL with illness (F)
3/16/12,Bucks,,Kwame Brown,placed on IL recovering from surgery to repair torn right pectoralis muscle in chest (out for season)
3/16/12,Bulls,,Derrick Rose,strained groin (DNP)
3/16/12,Grizzlies,Zach Randolph,,activated from IL
3/16/12,Hawks,,Marvin Williams,hip flexor injury (DTD)
3/16/12,Hawks,,Willie Green,hamstring injury (DNP)
3/16/12,Kings,,Francisco Garcia,placed on IL with sprained wrist
3/16/12,Kings,,J.J. Hickson,back injury (DTD)
3/16/12,Kings,,Tyreke Evans,sprained left ankle (DNP)
3/16/12,Kings,Tyler Honeycutt,,activated from IL
3/16/12,Lakers,,Christian Eyenga,placed on IL
3/16/12,Lakers,,Jordan Hill,placed on IL
3/16/12,Magic,,Justin Harper,placed on IL
3/16/12,Magic,Earl Clark,,returned to lineup
3/16/12,Magic,Jason Richardson,,activated from IL
3/16/12,Nets,,Brook Lopez,sprained right ankle (DNP) (F P)
3/16/12,Nets,,Deron Williams,sore right calf (DNP)
3/16/12,Nets,,Jordan Farmar,strained right groin (DNP)
3/16/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/16/12,Pacers,,Leandro Barbosa,placed on IL
3/16/12,Spurs,,Manu Ginobili,placed on IL with hip flexor injury
3/16/12,Spurs,,Stephen Jackson,placed on IL
3/16/12,Thunder,,Daequan Cook,sore right shoulder (DNP)
3/16/12,Warriors,,Andrew Bogut,placed on IL with fractured right ankle (out for season)
3/16/12,Warriors,,Richard Jefferson,placed on IL
